,Date,netIntInc,nonIntInc,nonIntExp,addNonIntInc,addNonIntExp,ppnr
0,2023 Q4,93321000000,56906000000,78648000000,21079000000,21079000000,71579000000
1,2023 Q3,68735000000,45160000000,56267000000,17329000000,17329000000,57628000000
2,2023 Q2,44846000000,31269000000,37071000000,11569000000,11569000000,39044000000
3,2023 Q1,21820000000,14450000000,18108000000,3890000000,3890000000,18162000000
4,2022 Q4,68798000000,51370000000,68538000000,25954000000,25954000000,51630000000
5,2022 Q3,47510000000,39655000000,51140000000,21247000000,21247000000,36025000000
6,2022 Q2,29155000000,26463000000,33850000000,15522000000,13662000000,23628000000
7,2022 Q1,13818000000,13405000000,17169000000,7685000000,6832000000,10907000000
8,2021 Q4,52006000000,52675000000,64583000000,27372000000,26619000000,40851000000
9,2021 Q3,38438000000,41008000000,48676000000,21560000000,19323000000,33007000000
10,2021 Q2,25379000000,28487000000,33197000000,14229000000,12859000000,22039000000
11,2021 Q1,12727000000,14371000000,16663000000,7460000000,6136000000,11759000000
12,2020 Q4,54301000000,50410000000,61991000000,24773000000,26647000000,40846000000
13,2020 Q3,41097000000,38389000000,47481000000,19539000000,20273000000,31271000000
14,2020 Q2,28259000000,25629000000,31776000000,12990000000,13406000000,21696000000
15,2020 Q1,14507000000,10817000000,16179000000,9367000000,7386000000,11126000000
16,2019 Q4,58927000000,46541000000,60593000000,20552000000,25986000000,39441000000
17,2019 Q3,44491000000,34873000000,45451000000,15069000000,19141000000,29841000000
18,2019 Q2,29822000000,22904000000,30271000000,8951000000,12670000000,18736000000
19,2019 Q1,12223000000,12013000000,14409000000,4573000000,5794000000,8606000000
20,2018 Q4,45871000000,45048000000,55731000000,26091000000,23104000000,38175000000
21,2018 Q3,33905000000,34993000000,41962000000,19280000000,14526000000,31690000000
22,2018 Q2,22311000000,23802000000,28169000000,13040000000,9708000000,21276000000
23,2018 Q1,10981000000,11647000000,14056000000,5888000000,4691000000,9769000000
24,2017 Q4,41203000000,41943000000,51541000000,22793000000,18198000000,36200000000
25,2017 Q3,30519000000,32135000000,38663000000,17050000000,13402000000,27639000000
26,2017 Q2,19993000000,21664000000,25864000000,11493000000,8897000000,18389000000
27,2017 Q1,9918000000,10518000000,13039000000,5353000000,4354000000,8396000000
28,2016 Q4,37122000000,40073000000,47869000000,21008000000,16595000000,33739000000
29,2016 Q3,27520000000,30481000000,35963000000,15920000000,12083000000,25875000000
30,2016 Q2,18134000000,20134000000,23363000000,10690000000,7460000000,18135000000
31,2016 Q1,8939000000,9732000000,11912000000,5224000000,4058000000,7925000000
32,2015 Q4,33943000000,39343000000,49358000000,21030000000,18695000000,26263000000
33,2015 Q3,25136000000,29883000000,37432000000,15077000000,13834000000,18830000000
34,2015 Q2,16611000000,20506000000,24533000000,10232000000,8502000000,14314000000
35,2015 Q1,8304000000,10509000000,12453000000,4944000000,4300000000,7004000000
36,2014 Q4,33973000000,37777000000,50649000000,20237000000,19312000000,22026000000
37,2014 Q3,25405000000,29303000000,38002000000,15210000000,13814000000,18102000000
38,2014 Q2,16775000000,19229000000,24638000000,9992000000,8792000000,12566000000
39,2014 Q1,8305000000,8678000000,12052000000,4319000000,4071000000,5179000000
40,2013 Q4,33192000000,38081000000,50524000000,20166000000,19423000000,21492000000
41,2013 Q3,24729000000,29658000000,41033000000,14075000000,17066000000,10363000000
42,2013 Q2,16472000000,21165000000,24482000000,9590000000,8029000000,14716000000
43,2013 Q1,8303000000,10241000000,12193000000,4553000000,3768000000,7136000000
44,2012 Q4,34604000000,35244000000,52936000000,20702000000,21546000000,16068000000
45,2012 Q3,26230000000,26392000000,40177000000,15845000000,15993000000,12297000000
46,2012 Q2,17834000000,16754000000,27798000000,10826000000,11418000000,6198000000
47,2012 Q1,9149000000,10200000000,15662000000,6067000000,6998000000,2756000000
48,2011 Q4,35844000000,36076000000,51647000000,18723000000,22291000000,16705000000
49,2011 Q3,26582000000,29065000000,39796000000,14466000000,17138000000,13179000000
50,2011 Q2,17656000000,18633000000,26928000000,9246000000,11365000000,7242000000
51,2011 Q1,8654000000,8836000000,12803000000,3847000000,4690000000,3844000000
52,2010 Q4,36082000000,35734000000,49420000000,20160000000,21907000000,20649000000
53,2010 Q3,27406000000,26717000000,36555000000,14309000000,15608000000,16269000000
54,2010 Q2,18386000000,18845000000,24806000000,9338000000,10417000000,11346000000
55,2010 Q1,9462000000,9522000000,12740000000,4325000000,5750000000,4819000000
56,2009 Q4,39740000000,37099000000,43840000000,20086000000,16550000000,36535000000
57,2009 Q3,30134000000,29662000000,34054000000,15258000000,12033000000,28967000000
58,2009 Q2,20378000000,19625000000,22987000000,10462000000,8186000000,19292000000
59,2009 Q1,10499000000,10518000000,11330000000,5402000000,3604000000,11485000000
60,2008 Q4,31645000000,31773000000,37023000000,19429000000,13579000000,32245000000
61,2008 Q3,20746000000,24140000000,26737000000,12212000000,9630000000,20731000000
62,2008 Q2,13606000000,16255000000,17706000000,8541000000,6065000000,14631000000
63,2008 Q1,6612000000,8288000000,7797000000,4116000000,2900000000,8319000000
64,2007 Q4,23250000000,31654000000,34511000000,17291000000,12459000000,25225000000
65,2007 Q3,16930000000,23855000000,25926000000,12509000000,8938000000,18430000000
66,2007 Q2,10836000000,17535000000,18024000000,8989000000,5858000000,13478000000
67,2007 Q1,5365000000,8633000000,8763000000,4260000000,2682000000,6813000000
68,2006 Q4,18246000000,29402000000,31800000000,15716000000,11048000000,20516000000
69,2006 Q3,13315000000,22010000000,23739000000,11712000000,7900000000,15398000000
70,2006 Q2,8706000000,14950000000,15664000000,7833000000,5091000000,10734000000
71,2006 Q1,4306000000,7862000000,7945000000,3825000000,2398000000,5650000000
72,2005 Q4,15640000000,24623000000,29818000000,14158000000,11728000000,12875000000
73,2005 Q3,11696000000,19025000000,23187000000,10673000000,9236000000,8971000000
74,2005 Q2,7905000000,11818000000,15657000000,7106000000,6638000000,4534000000
75,2005 Q1,4040000000,6399000000,7257000000,3318000000,2575000000,3925000000
76,2004 Q4,12240000000,16873000000,25286000000,9112000000,10601000000,2338000000
77,2004 Q3,6284000000,10435000000,15539000000,5029000000,6273000000,-64000000
78,2004 Q2,4208000000,7762000000,10752000000,3455000000,4257000000,416000000
79,2004 Q1,2089000000,4157000000,4693000000,1565000000,1269000000,1849000000
80,2003 Q4,9655000000,13859000000,16590000000,6067000000,4513000000,8478000000
81,2003 Q3,7293000000,10570000000,12577000000,4346000000,3188000000,6444000000
82,2003 Q2,4953000000,7515000000,8800000000,2967000000,2099000000,4536000000
83,2003 Q1,2524000000,3581000000,4450000000,1527000000,1078000000,2104000000
84,2002 Q4,8796000000,11821000000,17521000000,5084000000,5916000000,2264000000
85,2001 Q4,9310000000,11444000000,16203000000,3816000000,5804000000,2563000000
86,2000 Q4,7370000000,9242000000,11010000000,4342000000,3638000000,6306000000
87,1999 Q4,6921000000,7914000000,8871000000,4126000000,2899000000,7191000000
88,1998 Q4,6659000000,5874000000,8643000000,2936000000,3221000000,3605000000
89,1997 Q4,6267000000,5399000000,7826000000,2753000000,2620000000,3973000000
90,1996 Q4,6558000000,5819000000,9611000000,3381000000,4448000000,1699000000
91,1995 Q4,3834000000,2689000000,4202000000,1698000000,1642000000,2377000000
92,1994 Q4,3779000000,2463000000,4305000000,1627000000,1695000000,1869000000
93,1993 Q4,3706000000,2995000000,4024000000,1544000000,1473000000,2748000000
